Open Time;Order;Symbol;Type;Volume;;Price;S / L;T / P;Time;;State;Comment;
2025.01.16 19:20:00;2;GOLD;buy;0.01 / 0.01;;0.00;2 682.39;2 767.39;2025.01.16 19:20:00;;filled;Grip;
2025.01.16 21:05:17;3;GOLD;buy;0.01 / 0.01;;0.00;2 677.42;2 762.42;2025.01.16 21:05:17;;filled;Grip;
2025.01.17 01:10:00;4;GOLD;buy;0.01 / 0.01;;0.00;2 675.24;2 760.24;2025.01.17 01:10:00;;filled;Grip;
2025.01.17 02:13:00;5;GOLD;buy;0.01 / 0.01;;0.00;2 674.94;2 759.94;2025.01.17 02:13:00;;filled;Grip;
2025.01.17 12:41:39;6;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.17 12:41:39;;filled;;
2025.01.17 12:41:40;7;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.17 12:41:40;;filled;;
2025.01.17 12:41:40;8;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.17 12:41:40;;filled;;
2025.01.17 12:41:40;9;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.17 12:41:40;;filled;;
2025.01.21 14:16:00;10;GOLD;buy;0.01 / 0.01;;0.00;2 683.53;2 768.53;2025.01.21 14:16:00;;filled;Grip;
2025.01.21 16:08:00;11;GOLD;buy;0.01 / 0.01;;0.00;2 686.88;2 771.88;2025.01.21 16:08:00;;filled;Grip;
2025.01.21 17:28:00;12;GOLD;buy;0.01 / 0.01;;0.00;2 696.51;2 781.51;2025.01.21 17:28:00;;filled;Grip;
2025.01.21 18:47:51;13;GOLD;buy;0.01 / 0.01;;0.00;2 703.09;2 788.09;2025.01.21 18:47:51;;filled;Grip;
2025.01.24 04:14:43;14;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.24 04:14:43;;filled;tp 2768.53;
2025.01.24 04:38:02;15;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.24 04:38:02;;filled;tp 2771.88;
2025.01.24 05:29:00;16;GOLD;buy;0.01 / 0.01;;0.00;2 733.04;2 818.04;2025.01.24 05:29:00;;filled;Grip;
2025.01.24 08:32:00;17;GOLD;buy;0.01 / 0.01;;0.00;2 736.88;2 821.88;2025.01.24 08:32:00;;filled;Grip;
2025.01.24 15:13:17;18;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.24 15:13:17;;filled;tp 2781.51;
2025.01.24 16:45:01;19;GOLD;buy;0.01 / 0.01;;0.00;2 742.08;2 827.08;2025.01.24 16:45:01;;filled;Grip;
2025.01.27 09:28:51;20;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.27 09:28:51;;filled;;
2025.01.27 09:28:51;21;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.27 09:28:51;;filled;;
2025.01.27 09:28:52;22;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.27 09:28:52;;filled;;
2025.01.27 09:28:52;23;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.27 09:28:52;;filled;;
2025.01.28 21:58:00;24;GOLD;buy;0.01 / 0.01;;0.00;2 725.02;2 810.02;2025.01.28 21:58:00;;filled;Grip;
2025.01.28 22:13:58;25;GOLD;buy;0.01 / 0.01;;0.00;2 724.76;2 809.76;2025.01.28 22:13:58;;filled;Grip;
2025.01.28 22:36:00;26;GOLD;buy;0.01 / 0.01;;0.00;2 724.36;2 809.36;2025.01.28 22:36:00;;filled;Grip;
2025.01.29 04:33:13;27;GOLD;buy;0.01 / 0.01;;0.00;2 725.59;2 810.59;2025.01.29 04:33:13;;filled;Grip;
2025.01.29 21:00:26;28;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.29 21:00:26;;filled;;
2025.01.29 21:00:26;29;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.29 21:00:26;;filled;;
2025.01.29 21:00:26;30;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.29 21:00:26;;filled;;
2025.01.29 21:00:26;31;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.29 21:00:26;;filled;;
2025.01.30 06:29:00;32;GOLD;buy;0.01 / 0.01;;0.00;2 722.40;2 807.40;2025.01.30 06:29:00;;filled;Grip;
2025.01.30 07:09:50;33;GOLD;buy;0.01 / 0.01;;0.00;2 721.30;2 806.30;2025.01.30 07:09:50;;filled;Grip;
2025.01.30 07:55:00;34;GOLD;buy;0.01 / 0.01;;0.00;2 720.75;2 805.75;2025.01.30 07:55:00;;filled;Grip;
2025.01.30 09:36:04;35;GOLD;buy;0.01 / 0.01;;0.00;2 726.03;2 811.03;2025.01.30 09:36:04;;filled;Grip;
2025.01.31 14:30:11;36;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.31 14:30:11;;filled;tp 2805.75;
2025.01.31 14:37:07;37;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.31 14:37:07;;filled;tp 2806.30;
2025.01.31 14:42:16;38;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.31 14:42:16;;filled;tp 2807.40;
2025.01.31 14:56:00;39;GOLD;buy;0.01 / 0.01;;0.00;2 765.83;2 850.83;2025.01.31 14:56:00;;filled;Grip;
2025.01.31 16:59:08;40;GOLD;sell;0.01 / 0.01;;0.00;;;2025.01.31 16:59:08;;filled;tp 2811.03;
2025.01.31 17:44:00;41;GOLD;buy;0.01 / 0.01;;0.00;2 771.49;2 856.49;2025.01.31 17:44:00;;filled;Grip;
2025.01.31 20:00:00;42;GOLD;buy;0.01 / 0.01;;0.00;2 768.96;2 853.96;2025.01.31 20:00:00;;filled;Grip;
2025.01.31 23:31:01;43;GOLD;buy;0.01 / 0.01;;0.00;2 761.36;2 846.36;2025.01.31 23:31:01;;filled;Grip;
2025.02.03 03:56:34;44;GOLD;sell;0.01 / 0.01;;0.00;;;2025.02.03 03:56:34;;filled;;
2025.02.03 03:56:35;45;GOLD;sell;0.01 / 0.01;;0.00;;;2025.02.03 03:56:35;;filled;;
2025.02.03 03:56:35;46;GOLD;sell;0.01 / 0.01;;0.00;;;2025.02.03 03:56:35;;filled;;
2025.02.03 03:56:35;47;GOLD;sell;0.01 / 0.01;;0.00;;;2025.02.03 03:56:35;;filled;;
2025.02.03 15:47:00;48;GOLD;buy;0.01 / 0.01;;0.00;2 769.24;2 854.24;2025.02.03 15:47:00;;filled;Grip;
2025.02.03 18:01:00;49;GOLD;buy;0.01 / 0.01;;0.00;2 777.04;2 862.04;2025.02.03 18:01:00;;filled;Grip;
2025.02.04 10:45:00;50;GOLD;buy;0.01 / 0.01;;0.00;2 772.97;2 857.97;2025.02.04 10:45:00;;filled;Grip;
2025.02.04 11:44:52;51;GOLD;buy;0.01 / 0.01;;0.00;2 779.76;2 864.76;2025.02.04 11:44:52;;filled;Grip;
2025.02.05 05:32:15;52;GOLD;sell;0.01 / 0.01;;0.00;;;2025.02.05 05:32:15;;filled;tp 2854.24;
2025.02.05 05:46:01;53;GOLD;buy;0.01 / 0.01;;0.00;2 813.53;2 898.53;2025.02.05 05:46:01;;filled;Grip;
